0	-115.79642121273271
1	-116.97067756668942
2	-98.77761075581698
3	-119.54265537593056
4	-161.88402549255886
5	-129.95594930391871
6	-117.67621582408577
7	-155.0390280920723
8	-169.51474735462446
9	-143.1816551098913
10	-155.30035035722585
11	-96.53548821970962
12	-119.48296348433047
13	72.84331609370625
14	-139.31137984009817
15	-130.4692602833494
16	-152.2261901485932
17	-163.4219239169856
18	-147.62988787972282
19	-145.62432010971978
20	-142.66217742956593
21	-149.23171864142782
22	-125.50762874492607
23	-117.69801127046259
24	-153.70149829149574
25	-132.12024145640535
26	-106.66879589153498
27	-161.004311965823
28	-146.12346236206136
29	-136.53609244831097
30	-145.1613848241785
31	-139.16307926685792
32	-125.2138025551053
33	-126.92954121504718
34	-155.90445156153228
35	-134.07806654895865
36	-130.5234111022838
37	-148.0007798138525
38	-130.5417202112596
39	-130.00971075197666
40	-165.79996065621415
41	-120.50871768150232
42	-132.11248035190877
43	-146.66020756191128
44	-86.80389797987773
45	-124.35200486416558
46	-106.03151696046056
47	-108.14885096058663
48	-133.9601799726518
49	-143.81263345504323
50	-143.49774910548032
51	-111.40337550230235
52	-140.42987069561335
53	-134.06689891383309
54	-146.1674333573718
55	-134.00652004727093
56	-165.15030462629818
57	-119.65776104936921
58	-133.01689592385065
59	-153.6094688900303
60	-127.27260978552754
61	-133.96372647004202
62	-151.26389625155645
63	-165.8064500344266
64	-131.46725555806384
65	-141.56367951428098
